x_value,channel_1,channel_2,channel_3
227,0553,0555,"0552
"
228,0534,0562,"0560
"
229,0545,0538,"0564
"
230,0553,0545,"0536
"
231,0552,0538,"0557
"
232,0547,0532,"0556
"
233,0542,0567,"0573
"
234,0570,0583,"0559
"
235,0556,0561,"0558
"
236,0549,0545,"0531
"
237,0544,0525,"0534
"
238,0549,0532,"0548
"
239,0529,0544,"0525
"
240,0530,0550,"0531
"
241,0540,0569,"0562
"
242,0552,0555,"0548
"
243,0530,0554,"0544
"
244,0517,0533,"0549
"
245,0520,0529,"0546
"
246,0515,0522,"0534
"
247,0538,0556,"0546
"
248,0524,0542,"0566
"
249,0552,0546,"0537
"
250,0554,0543,"0568
"
251,0564,0564,"0570
"
252,0571,0582,"0555
"
253,0551,0554,"0545
"
254,0525,0544,"0522
"
255,0522,0536,"0547
"
256,0520,0533,"0554
"
257,0528,0545,"0531
"
258,0537,0562,"0554
"
259,0538,0572,"0574
"
260,0568,0583,"0558
"
261,0551,0555,"0549
"
262,0532,0557,"0550
"
263,0528,0553,"0541
"
264,0554,0550,"0535
"
265,0553,0545,"0521
"
266,0530,0550,"0530
"
267,0539,0569,"0559
"
268,0548,0548,"0536
"
269,0549,0539,"0559
"
270,0549,0538,"0566
"
271,0560,0555,"0555
"
272,0545,0531,"0551
"
273,0535,0557,"0552
"
274,0531,0559,"0555
"
275,0536,0566,"0566
"
276,0556,0560,"0560
"
277,0550,0545,"0532
"
278,0545,0527,"0538
"
279,0554,0539,"0561
"
280,0555,0548,"0538
"
281,0556,0547,"0530
"
282,0548,0535,"0552
"
283,0535,0559,"0555
"
284,0538,0570,"0573
"
285,0567,0582,"0555
"
286,0547,0548,"0533
"
287,0547,0535,"0552
"
288,0535,0560,"0555
"
289,0538,0569,"0571
"
290,0564,0575,"0591
"
291,0562,0574,"0593
"
292,0563,0576,"0552
"
293,0538,0571,"0574
"
294,0569,0584,"0556
"
295,0550,0553,"0542
"
296,0562,0562,"0555
"
297,0548,0543,"0570
"
298,0565,0568,"0577
"
299,0539,0575,"0591
"
300,0555,0562,"0573
"
301,0570,0579,"0554
"
302,0547,0543,"0568
"
303,0560,0558,"0562
"
304,0556,0553,"0546
"
305,0530,0552,"0539
"
306,0551,0546,"0525
"
307,0536,0559,"0545
"
308,0523,0545,"0524
"
309,0524,0541,"0557
"
310,0536,0565,"0568
"
311,0558,0563,"0567
"
312,0564,0570,"0579
"
313,0543,0583,"0561
"
314,0550,0555,"0549
"
315,0531,0557,"0550
"
316,0528,0553,"0542
"
317,0554,0550,"0534
"
