x_value,channel_1,channel_2,channel_3
0,0,0,0
1,"23
",,
2,1023,1023,"1022
"
3,1023,1023,"1023
"
4,1023,1023,"1022
"
5,1022,1023,"1022
"
6,1023,1022,"1023
"
7,1023,1023,"1023
"
8,1023,1023,"1023
"
9,1022,1023,"1023
"
10,1023,1023,"1022
"
11,1023,1023,"1023
"
12,1023,1023,"1023
"
13,1023,1023,"1022
"
14,1023,1023,"1023
"
15,1023,1023,"1023
"
16,1023,1023,"1022
"
17,1023,1023,"1022
"
18,1022,1023,"1023
"
19,1023,1023,"1022
"
20,1023,1023,"1023
"
21,1023,1023,"1023
"
22,1022,1023,"1023
"
23,1023,1023,"1023
"
24,1022,1023,"1022
"
25,1023,1023,"1023
"
26,1023,1023,"1022
"
27,1023,1023,"1022
"
28,1023,1022,"1023
"
29,1023,1023,"1023
"
30,1023,1023,"1022
"
31,1023,1023,"1023
"
32,1023,1023,"1022
"
33,1022,1023,"1023
"
34,1023,1023,"1022
"
35,1023,1023,"1023
"
36,1022,1023,"1022
"
37,1023,1023,"1023
"
38,1023,1023,"1023
"
39,1023,1023,"1023
"
40,1022,1022,"1023
"
41,1023,1022,"1022
"
42,1023,1023,"1023
"
43,1023,1023,"1022
"
44,1023,1023,"1022
"
45,1023,1023,"1022
"
46,1023,1023,"1023
"
47,1023,1023,"1022
"
48,1023,1023,"1023
"
49,1023,1023,"1023
"
50,1023,1023,"1023
"
51,1023,1023,"1023
"
52,1022,1023,"1022
"
53,1023,1023,"1023
"
54,1023,1023,"1023
"
55,1023,1023,"1023
"
56,1022,1022,"1023
"
57,1023,1023,"1023
"
58,1023,1022,"1022
"
59,1023,1023,"1023
"
60,1023,1023,"1023
"
61,1022,1023,"1023
"
62,1023,1022,"1023
"
63,1023,1023,"1023
"
64,1022,1023,"1023
"
65,1023,1023,"1023
"
66,1023,1022,"1023
"
67,1023,1022,"1022
"
68,1023,1023,"1023
"
69,1023,1022,"1023
"
70,1023,1023,"1023
"
71,1023,1023,"1022
"
72,1023,1023,"1023
"
73,1023,1023,"1022
"
74,1023,1023,"1023
"
75,1023,1023,"1023
"
76,1023,1023,"1023
"
77,1023,1022,"1023
"
78,1022,1023,"1023
"
79,1023,1023,"1023
"
80,1023,1023,"1023
"
81,1023,1022,"1023
"
82,1023,1022,"1023
"
83,1023,1023,"1023
"
84,1023,1023,"1023
"
85,1022,1022,"1023
"
86,1023,1023,"1023
"
87,1022,1023,"1022
"
88,1022,1022,"1023
"
89,1023,1023,"1023
"
90,1023,1023,"1023
"
91,1023,1023,"1022
"
92,1023,1023,"1023
"
93,1023,1023,"1023
"
94,1023,1023,"1023
"
95,1022,1023,"1023
"
96,1023,1023,"1023
"
97,1023,1023,"1022
"
98,1023,1023,"1023
"
99,1023,1022,"1023
"
100,1023,1023,"1023
"
101,1023,1023,"1023
"
102,1023,1023,"1023
"
103,1022,1023,"1023
"
104,1023,1022,"1023
"
105,1023,1023,"1023
"
106,1023,1023,"1023
"
107,1022,1023,"1023
"
108,1023,1023,"1023
"
109,1023,1022,"1023
"
110,1023,1023,"1023
"
111,1023,1023,"1023
"
112,1023,1023,"1022
"
113,1023,1023,"1023
"
114,1023,1022,"1022
"
115,1023,1023,"1022
"
116,1022,1023,"1023
"
117,1023,1023,"1023
"
118,1023,1023,"1022
"
119,1023,1022,"1023
"
120,1023,1023,"1023
"
121,1022,1023,"1022
"
122,1023,1023,"1023
"
123,1023,1023,"1023
"
124,1023,1023,"1023
"
125,1022,1023,"1023
"
126,1023,1023,"1023
"
127,1023,1023,"1023
"
128,1023,1023,"1023
"
129,1023,1023,"1022
"
130,1023,1022,"1023
"
131,1023,1023,"1023
"
132,1023,1023,"1023
"
133,1023,1023,"1023
"
134,1023,1023,"1023
"
135,1022,1022,"1023
"
136,1023,1023,"1023
"
137,1022,1023,"1023
"
138,1023,1022,"1023
"
139,1022,1023,"1023
"
140,1023,1023,"1023
"
141,1023,1023,"1023
"
142,1022,1023,"1023
"
143,1022,1022,"1023
"
144,1022,1023,"1023
"
145,1023,1022,"1023
"
146,1023,1023,"1023
"
147,1022,1023,"1023
"
148,1023,1022,"1023
"
149,1023,1023,"1023
"
150,1023,1023,"1023
"
151,1023,1023,"1023
"
152,1022,1023,"1023
"
153,1023,1022,"1022
"
154,1023,1023,"1023
"
155,1023,1023,"1023
"
156,1023,1023,"1023
"
157,1023,1023,"1023
"
158,1023,1023,"1023
"
159,1023,1023,"1023
"
160,1023,1022,"1022
"
161,1023,1023,"1023
"
162,1023,1023,"1023
"
163,1023,1023,"1023
"
164,1023,1023,"1023
"
165,1023,1023,"1022
"
166,1023,1023,"1022
"
167,1023,1023,"1023
"
168,1023,1023,"1023
"
169,1023,1022,"1023
"
170,1022,1023,"1023
"
171,1023,1023,"1023
"
172,1023,1023,"1022
"
173,1023,1023,"1023
"
174,1023,1023,"1023
"
175,1022,1022,"1023
"
176,1023,1023,"1022
"
177,1023,1023,"1023
"
178,1022,1023,"1023
"
179,1023,1023,"1023
"
180,1023,1023,"1023
"
181,1023,1023,"1023
"
182,1023,1023,"1023
"
183,1023,1023,"1023
"
184,1023,1022,"1023
"
185,1022,1022,"1023
"
186,1023,1023,"1023
"
187,1023,1023,"1023
"
188,1023,1023,"1023
"
189,1023,1022,"1023
"
190,1023,1023,"1023
"
191,1023,1023,"1023
"
192,1023,1023,"1023
"
193,1022,1022,"1023
"
194,1022,1023,"1022
"
195,1023,1023,"1022
"
196,1023,1023,"1023
"
197,1023,1023,"1023
"
198,1023,1023,"1023
"
199,1022,1023,"1023
"
200,1023,1023,"1023
"
201,1022,1023,"1023
"
202,1023,1023,"1023
"
203,1023,1023,"1023
"
204,1023,1023,"1023
"
