x_value,channel_1,channel_2,channel_3
353,662,1022,764
354,654,1023,769
355,588,1022,770
356,586,1022,785
357,622,1022,789
358,640,1023,774
359,615,1023,754
360,641,1023,752
361,656,1022,761
362,661,1023,767
363,655,1023,770
364,591,1022,774
365,600,1023,793
366,641,1023,787
367,642,1022,765
368,658,1022,746
369,643,1023,756
370,662,1023,766
371,666,1022,766
372,647,1023,770
373,593,1022,780
374,614,1023,794
375,647,1023,782
376,633,1023,762
377,654,1022,747
378,649,1023,760
379,664,1022,764
380,655,1023,769
381,589,1023,772
382,589,1023,788
383,629,1023,793
384,649,1022,773
385,615,1023,754
386,641,1023,751
387,656,1022,761
388,662,1023,767
389,657,1023,770
390,591,1022,774
391,599,1023,792
392,638,1023,788
393,642,1022,767
394,662,1023,749
395,649,1023,756
396,665,1022,763
397,663,1022,765
398,646,1023,769
399,589,1023,781
400,616,1023,795
401,650,1023,784
402,636,1023,764
403,658,1022,747
404,648,1023,758
405,664,1023,767
406,665,1023,770
407,593,1023,772
408,590,1023,787
409,628,1022,791
410,646,1023,777
411,622,1022,754
412,640,1023,749
413,650,1023,763
414,668,1023,768
415,602,1022,768
416,573,1023,775
417,595,1022,789
418,633,1023,789
419,643,1023,771
420,611,1023,750
421,638,1023,755
422,661,1023,765
423,667,1022,766
424,650,1023,770
425,591,1023,780
426,613,1022,792
427,641,1023,784
428,634,1023,765
429,659,1023,750
430,654,1023,759
431,669,1023,767
432,669,1023,769
433,593,1023,770
434,584,1022,783
435,619,1023,794
436,647,1023,779
437,626,1023,758
438,649,1023,749
439,653,1023,763
440,669,1023,768
441,603,1023,770
442,578,1023,775
443,596,1022,789
444,633,1023,790
445,645,1023,772
446,612,1023,751
447,640,1022,752
448,654,1023,764
449,663,1023,768
450,595,1023,770
451,578,1022,776
452,599,1023,793
453,641,1023,785
454,636,1022,763
455,655,1023,749
456,650,1022,755
457,661,1023,765
458,662,1023,769
459,591,1022,767
460,636,1022,781
461,626,1023,794
462,650,1022,777
463,622,1022,755
464,642,1022,746
465,644,1023,761
466,663,1023,767
467,660,1023,770
468,591,1023,774
